e,identifier,filename,youtubeid,vimeoid,title,,english_title,,date,,duration,format,type,director,producer,production_company,writer,cast,director_of_photography,editor,music,set_design,sound,camera,construction,narrator,contributors,image_restoration,audio_restoration,holding_institution,description,,notes,subject,presentation_title,presenter,presenter_affiliation,,,,,,,location,latitude,longitude,rights,rightsstatement
104,104,,,,Doin’ the Raccoon,,,,1929,,3 min,MOV; 16mm; b&w; sound,,,,De Vry-Cinetone Pictures; The De Very Corporation,,,,,George Olsen and His Music,,,,,,,,,Shane Fleming,Sound: “Doin’ the Raccoon” (El Baile del Coati) George Olsen and His Music (1928) Sound: Victor 21701-A,,,Orphan Film Symposium 2024: Work and Play,"Drawing Room Talkies: DeVry Cine-Tone Films, 1928-1929 
",Shane Fleming,,,,,,,,Museum of the Moving Image,,,,
105,105,,,,"Take the “A” Train 
",,,,1941,,3 min ,35mm; b&w; sound,,,,,,Delta Rhythm Boys,,,,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
106,106,,,,Struttin’ to Sutton Place,,,,1942,,3 min,35mm; b&w; sound,,,,,,Jack Shilkret’s Orchestra,,,,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
107,107,,,,Bli-Blip “As done in Jump for Joy”,,,,1941,,3 min,35mm; b&w; sound,,Josef Berne,Sam Coslow,R.C.M. Productions,,Marie Bryant; Paul White,,,Duke Ellington and his orchestra,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
108,108,,,,On Time,,,,1943,,3 min,35mm; b&w; sound,,,,Minoco,,Caroline Ayres,,,,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
109,109,,,,Steak and Potatoes,,,,1944,,3 min,35mm; b&w; sound,,Dave Gould,Ben Hersh,R.C.M. Productions,,"Mabel Scott and the Flennoy Trio (Lorenzo Flenney, Robert Lewis, Eugene Phillips)",,,,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
110,110,,,,A Little Jive is Good for You,,,,1941,,3 min,35mm; b&w; sound,,Sam Coslow,Sam Coslow,Minoco,,Martha Tilton and the Slate Brothers,,,,,,,,,,,,Library of Congress,,,,Orphan Film Symposium 2024: Work and Play,"Work and Wartime, Soundies Style (1941-1944)  ",Susan Delson,,,,,,,,Museum of the Moving Image,,,,
111,111,,,,Our Children (1919/1921),,,,1919-1921,,,35mm; b&w; color tinting;silent,,Carlyle Ellis,,"U.S. Children’s Bureau, Dept. of Labor",,,,,,,,,,,,,,Eye Filmmuseum Netherlands,,,"Live narration by Jennifer Horne; piano accompaniment, Andrew Simpson",Orphan Film Symposium 2024: Work and Play,About Our Children (1919/1921),Jennifer Horne,UC Santa Cruz,,,,,,,Museum of the Moving Image,,,,
112,112,,,vimeo.com/860540962/c3d9340a2d,Make a Movie Without a Camera,,,,1954,,5 min,16mm; color; silent,,Wayne Thiebaud,Wayne Thiebaud,"Bailey Films, Inc.",Patricia Thiebaud,,Pat Dullanty,,,,,,,William Overhauser,Designs: Tom Blaney,,,,,,,Orphan Film Symposium 2024: Work and Play,Painting and Scratching on Celluloid with Wayne Thiebaud,David Sherman,University of Arizona,,,,,,,Museum of the Moving Image,,,,
113,113,,,,See the Forest and the Trees: The Creative Work of the Fillinger Family,,,,1970s-2023,,10 min,MOV; 16mm; color; b/w; silent,,,,,,"Paul, Glenda, Tamera, Mark, Dana",,,,,,,,,,,,BAMPFA,,,"Fillinger camera tests and rushes, compiled and narrated livby Adrianne Finelli. ",Orphan Film Symposium 2024: Work and Play,See the Forest and the Trees: The Creative Work of the Fillinger Family. ,Adrianne Finelli; Jon Shibata,Prelinger Archives; BAMPFA,,,,,,,Museum of the Moving Image,,,,
114,114,,,,Celebration of Life: Trees,,,,1973,,12 min,DCP; 16mm; color; sound,,Paul Fillinger,Paul Fillinger,"BFA Educational Media; Made with a grant from Ortho Division, Chevron Chemical Company",,,Paul Fillinger,Ronald Chase,Elinor Armer,,Ronald Chase,,,,"Thanks: Dr. Herbert Wong, Gary Richardson, Alexander Linsay Junior Museum, S.F. Conservatory Children’s Chorus, San Francisco Park Commission",,,BAMPFA,,,,Orphan Film Symposium 2024: Work and Play,See the Forest and the Trees: The Creative Work of the Fillinger Family. ,Adrianne Finelli; Jon Shibata,Prelinger Archives; BAMPFA,,,,,,,Museum of the Moving Image,,,,
115,115,,,,My Own Yard to Play In,,,,1959,,7 min,"16mm; b&w; sound
",,Phil Lerner ,,,,,Phil Lerner,Patricia Jaffe; John Schultz; Larry Silk; Peggy Lawson,,,Tony Schwartz,,,,Distributed by Edward Harrison,,,,,,"4K scan of 16mm print by York University; Archive/Counter Archive project, 2024. (Other prints at NYPL, Harvard Film Archive, Indiana U)",Orphan Film Symposium 2024: Work and Play,Where Will The Children Play? Urban Detritus and the Cine-Child,Luke Kuplowsky,York University,,,,,,,Museum of the Moving Image,,,,
116,116,,,,"Farewell, Etaoin Shrdlu",,,,1980,,30 min,16mm; color; sound,,David Loeb Weiss,,The New York Times Company,David Loeb Weiss,,,David Loeb Weiss,,,Deborah S. Freedman,Philip F. Messina; Anthony Gonzalez; Richard W. Adams,,Carl Schlesinger,"Gaffer: Robert Eggleston; Production assistants: Sandra Kossoff, Bill Scrobut, Paul Shoul
",,,"NYU Libraries, Special Collections, 16mm preservation print, 2023.",,,"David Loeb Weiss Film Collection, FILMS.002, ca. 1967-2023 (14 cans, 35 reels, 32 audiotapes) in English and Spanish; unedited materials, selects, outtakes, trims, and preservation elements. Series I. Farewell, Etaoin Shrdlu, 1978-2023 (31 reels 9 audiotape reels, 1 audiocassette); includes a dye a dye print, narration and sound elements, trims and outs, preservation elements, a digital scan, and reference materials. This digital copy of the film was created with duplicate negatives and optical track negatives by vendor BB Optics as part of a National Film Preservation Foundation grant project. The Museum of Modern Art lent the original negative A- and B-rolls and optical track negatives to NYU for this project.",Orphan Film Symposium 2024: Work and Play,,Kimberly Tarr,New York University,,,,,,,Museum of the Moving Image,,,,
117,117,,,,Trouble Don’t Last,,,,1984- 2024,,75 min,MOV; color; sound,,Sasha Waters,Henry S. Rosenthal,"Complex Corporation, with the Conner Family Trust, Pie Shake Pictures",,"Bruce Conner; The Soul Stirrers; Rev. Paul Foster; S. R. “Roy” Crain; R. H. Harris; Ernest Smith; Lawrence Stickman; LeRoy Crume; Paul Foster Jr., Johnnie Taylor; with Noah Keller; Esther Foster (daughter); the Noah’s Ark Special; voice of Margaret Crenshaw (Roy Crain’s sister); voice of Jean Conner (Bruce’s wife).",,Sasha Waters,,,,Rick Butler; Hiro Narita; David Myers; Mark Rance,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,How to Restore a Film that Never Was?  ,Sasha Waters,Virginia Commonwealth University,,,,,,,Museum of the Moving Image,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Writer: Paul Harrill,,,,,,,,,,,,,,,,,,,,,,,,
